% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA
"2014 10 24 09:22:54.355000",CONSENT,186_1,1.414156974355E12,false,true,false,true,2,61434.0,,,,,,
"2014 10 24 09:23:14.162000",CONSENT,187_1,1.414156994162E12,false,false,true,false,1,55081.0,,,,,,
"2014 10 24 09:23:36.708000",CONSENT,188_1,1.414157016708E12,false,false,true,false,1,72713.0,,,,,,
"2014 10 24 09:24:15.195000",CONSENT,189_1,1.414157055195E12,false,true,true,false,2,292715.0,"-",Male,2,7,"usa",53
"2014 10 24 09:24:15.566000",CONSENT,190_1,1.414157055566E12,true,false,false,false,1,110414.0,,,,,,
"2014 10 24 09:24:21.518000",CONSENT,191_1,1.414157061518E12,,,,,,,,,,,,
"2014 10 24 09:24:54.581000",CONSENT,192_1,1.414157094581E12,false,false,false,true,1,74900.0,,,,,,
"2014 10 24 09:24:59.595000",CONSENT,193_1,1.414157099595E12,true,true,true,true,4,793028.0,,,,,,
"2014 10 24 09:25:08.341000",CONSENT,194_1,1.414157108341E12,false,true,true,false,2,63093.0,,,,,,
"2014 10 24 09:25:32.276000",CONSENT,195_1,1.414157132276E12,,,,,,,,,,,,
"2014 10 24 09:25:34.858000",CONSENT,196_1,1.414157134858E12,false,false,false,false,0,113380.0,,,,,,
"2014 10 24 09:25:48.600000",CONSENT,197_1,1.4141571486E12,false,true,false,false,1,221711.0,,,,,,
"2014 10 24 09:25:56.762000",CONSENT,198_1,1.414157156762E12,,,,,,,,,,,,
"2014 10 24 09:26:26.509000",CONSENT,199_1,1.414157186509E12,false,false,false,true,1,13889.0,,,,,,
